PERMNO	date	SHRCD	EXCHCD	RET
11208	20201231	11	1	0.111045
11264	20201231	73	4	0.228784
11267	20201231	11	1	0.189826
11275	20201231	11	3	0.337778
11285	20201231	11	3	0.083811
11292	20201231	11	3	-0.044745
11293	20201231	11	3	0.057632
11308	20201231	11	1	0.062791
11343	20201231	11	3	-0.033131
11348	20201231	11	3	0.046820
11368	20201231	11	3	1.263636
11369	20201231	11	3	0.118511
11370	20201231	11	1	0.025293
11379	20201231	11	3	
11394	20201231	11	3	-0.160643
11397	20201231	11	3	0.152594
11403	20201231	11	3	0.173087
11404	20201231	11	1	-0.052197
11407	20201231	73	4	0.186861
11441	20201231	11	3	0.147727
11442	20201231	11	3	0.058761
11481	20201231	11	3	0.116436
11499	20201231	11	3	-0.059459
11511	20201231	11	3	0.275229
11533	20201231	11	1	0.080926
11547	20201231	11	1	0.101188
11565	20201231	11	3	0.109091
11581	20201231	11	1	0.009826
11587	20201231	11	3	0.070400
11593	20201231	11	3	0.042447
11600	20201231	11	3	0.030851
11618	20201231	11	3	-0.004449
11628	20201231	11	1	0.159854
11636	20201231	11	3	0.221293
11644	20201231	11	1	-0.102669
11654	20201231	11	3	0.062161
11664	20201231	11	1	0.041822
11674	20201231	11	1	-0.026349
11691	20201231	11	1	-0.019955
11701	20201231	11	3	0.134876
11731	20201231	11	1	0.074274
11748	20201231	11	3	-0.010059
11752	20201231	11	3	0.122838
11762	20201231	12	1	-0.008009
11775	20201231	11	3	0.347249
11786	20201231	11	3	0.124601
11790	20201231	11	3	0.006776
11803	20201231	11	3	0.509338
11809	20201231	11	1	0.051541
11825	20201231	11	3	-0.152093
11844	20201231	11	3	0.105908
11845	20201231	31	1	0.118974
11850	20201231	11	1	0.081039
11884	20201231	11	3	0.113791
11891	20201231	11	1	0.115487
11896	20201231	11	3	0.067558
11955	20201231	11	1	-0.005498
11990	20201231	11	1	0.067493
11992	20201231	11	3	0.101786
11995	20201231	11	3	0.017502
11996	20201231	73	4	0.036182
12008	20201231	11	1	0.201400
12009	20201231	11	1	0.232258
12015	20201231	14	1	0.058068
12017	20201231	11	3	-0.274390
12034	20201231	75	4	0.086393
12035	20201231	73	4	0.026811
12036	20201231	11	1	0.048897
12039	20201231	44	1	0.014701
12049	20201231	11	2	-0.022371
12052	20201231	11	1	-0.003549
12054	20201231	73	4	0.097183
12059	20201231	73	4	0.000273
12060	20201231	11	1	0.061886
12062	20201231	11	1	0.018565
12064	20201231	73	4	0.000432
12065	20201231	73	4	0.012513
12066	20201231	74	4	0.060236
12068	20201231	11	3	0.046115
12070	20201231	48	1	0.064495
12073	20201231	11	3	0.042742
12075	20201231	73	4	0.041145
12076	20201231	12	1	-0.099703
12078	20201231	11	2	-0.027750
12082	20201231	12	3	0.190246
12084	20201231	12	3	0.006091
12089	20201231	11	3	0.264531
12093	20201231	18	1	0.008932
12098	20201231	73	4	0.056953
12103	20201231	14	1	0.021277
12105	20201231	73	3	0.036175
12109	20201231	73	3	0.094007
12146	20201231	11	3	-0.051011
12166	20201231	11	3	-0.083601
12189	20201231	11	3	-0.008899
12209	20201231	11	3	-0.228245
12211	20201231	11	1	0.109135
12219	20201231	73	4	0.048291
12226	20201231	11	3	0.079110
12266	20201231	11	3	0.265351
12287	20201231	73	4	0.064732
12289	20201231	73	4	0.005261
12292	20201231	73	4	0.071333
12293	20201231	31	1	-0.042857
12294	20201231	73	4	0.038328
12295	20201231	73	4	0.033269
12296	20201231	73	4	0.076589
12297	20201231	73	4	0.087767
12301	20201231	73	4	0.081467
12302	20201231	73	4	0.065866
12303	20201231	73	4	0.062840
12304	20201231	73	4	0.065239
12305	20201231	73	4	0.037376
12307	20201231	11	3	1.114726
12308	20201231	11	3	0.014663
12310	20201231	11	3	0.219178
12313	20201231	73	3	0.041178
12314	20201231	73	3	0.043887
12315	20201231	73	3	0.037177
12316	20201231	73	3	0.044633
12317	20201231	73	3	0.093454
12318	20201231	73	3	0.085870
12321	20201231	73	3	0.080100
12325	20201231	31	1	0.333333
12326	20201231	74	4	0.090118
12329	20201231	18	1	0.037500
12331	20201231	44	1	0.041713
12332	20201231	12	1	0.105845
12333	20201231	73	4	0.203824
12334	20201231	73	4	0.086026
12338	20201231	75	4	0.188295
12339	20201231	31	1	0.020697
12341	20201231	14	1	0.019350
12345	20201231	12	1	0.077086
12350	20201231	11	3	0.362305
12355	20201231	14	3	0.069767
12358	20201231	11	3	-0.121053
12360	20201231	11	3	0.640734
12362	20201231	11	3	-0.005493
12363	20201231	11	3	-0.061321
12366	20201231	11	1	0.004494
12367	20201231	31	2	-0.029197
12368	20201231	14	1	0.070747
12369	20201231	11	1	-0.050182
12370	20201231	73	4	0.118916
12371	20201231	73	4	0.084095
12372	20201231	73	4	0.304581
12373	20201231	11	1	0.085247
12374	20201231	11	3	0.034423
12376	20201231	14	1	0.112381
12377	20201231	31	1	0.615203
12380	20201231	11	3	0.021322
12385	20201231	31	1	0.069324
12391	20201231	12	1	0.153203
12397	20201231	12	3	-0.377317
12400	20201231	11	3	0.148177
12411	20201231	12	3	-0.216336
12412	20201231	73	3	0.036010
12413	20201231	11	3	-0.067196
12431	20201231	12	1	-0.003761
12437	20201231	11	1	0.193431
12442	20201231	73	4	-0.110416
12443	20201231	73	4	0.079652
12447	20201231	12	1	0.296046
12448	20201231	11	1	0.134069
12449	20201231	11	1	0.028732
12452	20201231	11	2	0.173750
12453	20201231	73	4	0.008823
12457	20201231	73	3	0.062606
